Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Cisplatin,1005,SF539,905984,LGG,nervous_system,glioma,1.779058623,0.893873474,6.0,0.086394177,-0.783586621,GDSC2
Cisplatin,1005,SF268,905986,GBM,nervous_system,glioma,2.305190004,0.891759824,6.0,0.076168254,-0.497964044,GDSC2
Cisplatin,1005,Becker,906746,GBM,nervous_system,glioma,3.407827286,0.945104924,6.0,0.075057356,0.100628082,GDSC2
Cisplatin,1005,DB,906832,DLBC,blood,B_cell_lymphoma,1.166298141,0.837869184,6.0,0.122219348,-1.116237807,GDSC2
Cisplatin,1005,DBTRG-05MG,906835,GBM,nervous_system,glioma,7.039862034,0.970501684,6.0,0.057876255,2.072362065,GDSC2
Cisplatin,1005,DK-MG,906839,GBM,nervous_system,glioma,6.16749806,0.983731411,6.0,0.05553057,1.598779125,GDSC2
Cisplatin,1005,GAMG,906868,LGG,nervous_system,glioma,3.919752713,0.961302338,6.0,0.092838769,0.378538628,GDSC2
Cisplatin,1005,GI-1,906871,LGG,nervous_system,glioma,0.755912582,0.811378116,6.0,0.113566039,-1.339025089,GDSC2
Cisplatin,1005,H4,907042,LGG,nervous_system,glioma,1.518741212,0.873085745,6.0,0.126422843,-0.924905942,GDSC2
Cisplatin,1005,KALS-1,907271,LGG,nervous_system,glioma,3.197508371,0.927298736,6.0,0.074077256,-0.013548401,GDSC2
Cisplatin,1005,KARPAS-422,907274,DLBC,blood,B_cell_lymphoma,3.323548123,0.957309381,6.0,0.066180737,0.05487519,GDSC2
Cisplatin,1005,KINGS-1,907279,LGG,nervous_system,glioma,5.133210375,0.951323543,6.0,0.069620844,1.037292158,GDSC2
Cisplatin,1005,KS-1,907313,GBM,nervous_system,glioma,4.825378812,0.973959135,6.0,0.071059525,0.870178681,GDSC2
Cisplatin,1005,MOG-G-CCM,908144,LGG,nervous_system,glioma,4.719539928,0.965617068,6.0,0.058943674,0.812721597,GDSC2
Cisplatin,1005,MOG-G-UVW,908145,LGG,nervous_system,glioma,1.599770288,0.874985133,6.0,0.070889136,-0.880917436,GDSC2
Cisplatin,1005,SK-MG-1,909729,GBM,nervous_system,glioma,4.381136628,0.968437151,6.0,0.078414009,0.629011547,GDSC2
Cisplatin,1005,SW1088,909745,GBM,nervous_system,glioma,4.457667979,0.95653979,6.0,0.069326272,0.670558359,GDSC2
Cisplatin,1005,TUR,909773,DLBC,blood,B_cell_lymphoma,2.707162894,0.973381378,6.0,0.075156063,-0.279743773,GDSC2
Cisplatin,1005,YH-13,909905,GBM,nervous_system,glioma,2.558128409,0.908342643,6.0,0.068822226,-0.360650587,GDSC2
Cisplatin,1005,LN-405,910694,GBM,nervous_system,glioma,5.531591517,0.984558071,6.0,0.053979122,1.253562565,GDSC2
Cisplatin,1005,BC-1,910919,DLBC,blood,B_cell_lymphoma,1.470481895,0.894003936,6.0,0.081608591,-0.951104627,GDSC2
Cisplatin,1005,SCC-3,910930,DLBC,blood,B_cell_lymphoma,-1.267597099,0.579927011,6.0,0.085187209,-2.437534074,GDSC2
Cisplatin,1005,AM-38,910933,GBM,nervous_system,glioma,2.147479615,0.895863567,6.0,0.088432307,-0.583580773,GDSC2
Cisplatin,1005,A4-Fuk,910934,DLBC,blood,B_cell_lymphoma,1.516652698,0.884664815,6.0,0.060595853,-0.92603974,GDSC2
Cisplatin,1005,A3-KAW,910935,DLBC,blood,B_cell_lymphoma,-0.467949247,0.68550677,6.0,0.105437387,-2.003426761,GDSC2
Cisplatin,1005,CAS-1,910943,GBM,nervous_system,glioma,5.385850402,0.970564887,6.0,0.076558557,1.174443634,GDSC2
